类别,专业,课程,书名,定价
专业,"[电气,计算机,测控,自动化]",自动控制原理(B类),工程控制基础,38.30 
专业,"[电气,计算机,测控,自动化]",自动控制原理(B类),工程控制基础习题解答,33.20 
专业,计算机,数字图像处理,数字图像处理(英文版) 3版,75.70 
专业,计算机,数字图像处理,数字图像处理(中文版) 4版,75.70 
专业,计算机,计算机图形学,计算机图形学(英文版),84.20 
专业,计算机,计算机图形学,计算机图形学(中文版),75.70 
专业,计算机,计算机网络(D类),计算机网络(第5版),76.00 
专业,计算机,计算机网络(D类),计算机网络(第5版)(英文版),84.20 
专业,计算机,计算机网络(D类),计算机网络(第4版)(英文版),58.70 
专业,测控,现代图学,工程设计图学基础,32.30 
专业,测控,现代图学,工程设计图学基础习题集,23.80 
专业,测控,现代图学,UG NX6.0基础与进阶,32.30 
专业,测控,精密仪器设计(1、2),精密机械设计,38.30 
专业,测控,可靠性设计,系统可靠性设计与分析,34.00 
专业,测控,工业测控技术与系统,计算机控制技术,28.90 
专业,测控,工业测控技术与系统,PLC基础及应用教程,29.80 
专业,"[测控,电子]",科技创新II-A,电子工程综合实践(孟桂娥上课),29.80 
专业,测控,传感器原理,传感器技术,27.20 
专业,测控,测试与控制电路,测控电路,35.70 
专业,"[测控,微电子]",电磁场,电磁场与波基础教程,38.30 
专业,测控,工程力学,工程力学,27.20 
专业,自动化,自动控制原理(A类),自动控制理论与设计,34.85 
专业,自动化,自动控制原理(A类),自动控制理论与设计考研指导,24.65 
专业,自动化,自动化仪表,自动化仪表与过程控制,38.30 
专业,自动化,数字信号处理(A),数字信号处理,42.33 
专业,自动化,数字图像处理基础,数字图像处理(英文版）3版,75.70 
专业,自动化,数字图像处理基础,数字图像处理（中文版）3版,75.70 
专业,自动化,模式识别导论,模式识别,30.60 
专业,自动化,机器人学,机器人学导论（原书第三版） ,35.70 
专业,自动化,电力电子技术,电力电子技术,24.65 
专业,"[电子,微电子]",近代物理,近代物理学,50.20 
专业,电子,光电子学基础,光电子学与光子学-原理与实践(第2版)(英文版),67.20 
专业,电子,光电子学基础,光电子学与光子学-原理与实践(第2版)(中文版),67.20 
专业,电子,半导体物理与器件,半导体物理与器件（印影版）,92.70 
专业,电子,半导体物理与器件,半导体物理与器件（中文版）,67.20 
专业,"[电子,信工]",微波技术,微波技术与天线（第3版）,59.30 
专业,"[电子,信工]",微波技术,微波工程（第三版）,67.20 
专业,"[电子,信工]",微波技术,简明微波,58.70 
专业,"[电子,信工]",微波技术,电磁场与波基础教程,38.25 
专业,"[电子,信工]",微波技术,电磁场与电磁波（英文版）,58.70 
专业,"[电子,信工]",微波技术,电磁场理论与微波技术基础,45.90 
专业,"[电子,信工]",通信原理,通信原理（第二版）,40.80 
专业,"[电子,信工]",通信原理,通信系统原理（英文版）（2版）,59.33 
专业,"[电子,信工]",通信原理与实验,通信原理实验教程-基于NI软件无线电教学平台,21.30 
专业,"[电子,信工]",数字信号处理（英）,离散时间信号处理（影印版）,84.80 
专业,"[电子,信工]",数字信号处理（中）,数字信号处理（第二版）,33.80 
专业,"[电子,信工]",激光原理技术,激光原理,49.30 
专业,"[电子,信工]",光纤通信概论,光纤通信系统（第四版）,75.70 
专业,"[电子,信工]",光纤通信概论,光纤通信（第6版）（本科教学版）,50.20 
专业,信工,机器学习,机器学习,74.80 
专业,电气,软件工程（C类）,软件工程导论,33.60 
专业,电气,数据库（C类）,数据库系统概论,33.70 
专业,电气,数据库（C类）,数据库系统概论习题解答,23.80 
专业,电气,电气工程基础（1）,电气工程基础（第二版）（上下）,80.80 
专业,电气,电力电子技术基础,电力电子技术,24.65 
专业,电气,电机学,电机学,38.25 
专业,电气,电机学,电机学,46.80 
专业,电气,计算机通信与网络,计算机网络-自顶向下法（英文影印 第5版）,67.20 
专业,信安,信息论与编码,信息论与编码,18.70 
专业,"[信安,微电子]",数字信号处理（E类）,数字信号处理（第二版）,33.80 
专业,信安,数字系统设计,Verilog HDL数字设计与综合（第2版本科教学版）,41.70 
专业,信安,计算机通信网络（A类）,计算机通信网基础,41.65 
专业,信安,编译原理（C类）,编译原理（第三版）,28.90 
专业,软件,数字部件设计,数字设计与计算机体系结构（2版）英文,109.70 
专业,软件,数字部件设计,数字设计与计算机体系结构（2版）中文,75.70 
专业,软件,计算机系统工程,计算机系统设计原理（影印版）,50.20 
专业,软件,计算机系统工程,计算机系统设计原理（中文版）,41.70 
专业,软件,计算机图形学,计算机图形学,76.70 
专业,软件,编译原理与技术,C++程序设计原理与实践(基础篇）,84.20 
专业,软件,编译原理与技术,C++程序设计原理与实践(进阶篇）,84.20 
专业,软件,编译原理与技术,现代编译原理--C语言描述（英文版）,50.20 
专业,微电子,操作系统（E）,现代操作系统（中文版）,63.80 
专业,微电子,操作系统（E）,现代操作系统（英文版）,58.70 
专业,微电子,操作系统（E）,操作系统设计与实现（上）,58.70 
